year,date,salinity.regime,site,transect,live.tot,live.adults,live.juveniles,empty.tot,empty.adult,empty.juv,egg.mass,notes,num.tran
2013,28-Apr-13,fresh,Point Atkinson,a,27,22,5,11,7,4,0,,4
2013,28-Apr-13,fresh,Point Atkinson,b,8,8,0,87,43,44,0,,4
2013,28-Apr-13,fresh,Point Atkinson,c,3,3,0,19,12,7,0,,4
2013,28-Apr-13,fresh,Point Atkinson,d,0,0,0,1,0,1,0,,4
2013,26-May-13,fresh,Weston Park,a,33,29,4,3,1,2,0,,4
2013,26-May-13,fresh,Weston Park,b,36,36,0,4,4,0,0,,4
2013,26-May-13,fresh,Weston Park,c,11,10,1,0,0,0,0,,4
2013,26-May-13,fresh,Weston Park,d,34,34,0,0,0,0,0,,4
2013,26-May-13,salty,Weston Spit,a,0,0,0,0,0,0,0,,4
2013,26-May-13,salty,Weston Spit,b,0,0,0,3,2,1,0,,4
2013,26-May-13,salty,Weston Spit,c,7,7,0,0,0,0,0,,4
2013,26-May-13,salty,Weston Spit,d,34,34,0,0,0,0,1,,4
2013,25-Apr-13,salty,Figurehead,a,13,13,0,0,0,0,0,,4
2013,25-Apr-13,salty,Figurehead,b,16,16,0,0,0,0,0,,4
2013,25-Apr-13,salty,Figurehead,c,17,14,3,0,0,0,0,,4
2013,25-Apr-13,salty,Figurehead,d,10,9,1,0,0,0,0,,4
2013,29-Apr-13,salty,White Rock,a,59,46,13,5,3,2,4,,4
2013,29-Apr-13,salty,White Rock,b,50,43,7,17,5,12,4,,4
2013,29-Apr-13,salty,White Rock,c,215,182,33,21,9,12,6,,4
2013,29-Apr-13,salty,White Rock,d,144,123,21,59,48,11,5,,4
2013,12-May-13,salty,Yellow Point,a,36,34,2,9,2,7,4,,4
2013,12-May-13,salty,Yellow Point,b,74,73,1,5,3,2,5,,4
2013,12-May-13,salty,Yellow Point,c,79,66,13,6,2,4,5,,4
2013,12-May-13,salty,Yellow Point,d,138,122,16,4,0,4,1,,4
2014,,fresh,Tower South,a,,,,,,,,,
2014,,fresh,Tower South,b,,,,,,,,,
2014,,fresh,Tower South,c,,,,,,,,,
2014,,fresh,Tower South,d,,,,,,,,,
2014,16-May-14,fresh,Tower North,a,0,0,0,0,0,0,0,,4
2014,16-May-14,fresh,Tower North,b,0,0,0,0,0,0,0,,4
2014,16-May-14,fresh,Tower North,c,0,0,0,0,0,0,0,,4
2014,16-May-14,fresh,Tower North,d,0,0,0,0,0,0,0,,4
2014,16-May-14,fresh,Dunbar,a,72,72,0,7,4,3,0,,3
2014,16-May-14,fresh,Dunbar,b,15,15,0,4,1,3,0,,3
2014,16-May-14,fresh,Dunbar,c,9,8,1,0,0,0,0,,3
2014,16-May-14,fresh,Dunbar,d,,,,,,,0,,
2014,16-May-14,fresh,Waterloo,a,7,6,1,21,8,13,0,,2
2014,16-May-14,fresh,Waterloo,b,5,5,0,14,8,6,0,,2
2014,16-May-14,fresh,Waterloo,c,,,,,,,,,
2014,16-May-14,fresh,Waterloo,d,,,,,,,,,
2014,16-May-14,fresh,Kits Point,a,7,7,0,8,3,5,0,,4
2014,16-May-14,fresh,Kits Point,b,14,11,3,6,1,5,0,,4
2014,16-May-14,fresh,Kits Point,c,0,0,0,4,2,2,0,,4
2014,16-May-14,fresh,Kits Point,d,1,0,1,0,0,0,0,,4
2014,17-May-14,fresh,Point Atkinson,a,26,25,1,14,8,6,0,,4
2014,17-May-14,fresh,Point Atkinson,b,4,3,1,7,6,1,0,,4
2014,17-May-14,fresh,Point Atkinson,c,80,74,6,25,10,15,0,,4
2014,17-May-14,fresh,Point Atkinson,d,8,8,0,4,2,2,0,,4
2014,17-May-14,fresh,Weston Park,a,19,19,0,4,1,3,0,,4
2014,17-May-14,fresh,Weston Park,b,43,38,5,2,0,2,0,,4
2014,17-May-14,fresh,Weston Park,c,4,3,1,3,0,3,0,,4
2014,17-May-14,fresh,Weston Park,d,8,8,0,2,0,2,0,,4
2014,17-May-14,salty,Weston Spit,a,69,64,5,1,1,0,3,,4
2014,17-May-14,salty,Weston Spit,b,14,11,3,1,0,1,2,,4
2014,17-May-14,salty,Weston Spit,c,37,8,29,0,0,0,0,,4
2014,17-May-14,salty,Weston Spit,d,45,13,32,0,0,0,0,,4
2014,18-Apr-14,salty,Figurehead,a,139,127,12,0,0,0,0,,4
